8.810000000000000053e-01,8.699999999999999956e-01,8.950000000000000178e-01,9.200000000000000400e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.830000000000000071e-01,8.729999999999999982e-01,8.960000000000000187e-01,9.210000000000000409e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.509999999999999787e-01,8.429999999999999716e-01,8.950000000000000178e-01,9.389999999999999458e-01
4.900000000000000189e-02,6.800000000000000488e-02,1.260000000000000009e-01,1.499999999999999944e-01
3.190000000000000058e-01,3.780000000000000027e-01,4.889999999999999902e-01,6.360000000000000098e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.110000000000000542e-01,8.549999999999999822e-01,9.090000000000000302e-01,9.619999999999999662e-01
5.600000000000000117e-02,7.699999999999999900e-02,1.580000000000000016e-01,3.210000000000000075e-01
1.789999999999999925e-01,2.479999999999999982e-01,4.099999999999999756e-01,6.410000000000000142e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.189999999999999503e-01,8.479999999999999760e-01,9.300000000000000488e-01,9.779999999999999805e-01
5.600000000000000117e-02,8.799999999999999489e-02,2.230000000000000038e-01,4.279999999999999916e-01
1.580000000000000016e-01,2.389999999999999902e-01,4.319999999999999951e-01,6.630000000000000338e-01
1.059999999999999970e-01,1.660000000000000087e-01,3.449999999999999734e-01,5.749999999999999556e-01
8.030000000000000471e-01,8.479999999999999760e-01,9.489999999999999547e-01,9.919999999999999929e-01
4.499999999999999833e-02,8.400000000000000522e-02,2.939999999999999836e-01,5.550000000000000488e-01
1.170000000000000068e-01,1.930000000000000049e-01,4.670000000000000262e-01,7.319999999999999840e-01
8.200000000000000344e-02,1.469999999999999918e-01,3.990000000000000213e-01,6.680000000000000382e-01
8.149999999999999467e-01,8.599999999999999867e-01,9.539999999999999591e-01,9.939999999999999947e-01
4.599999999999999922e-02,1.290000000000000036e-01,3.469999999999999751e-01,6.400000000000000133e-01
9.500000000000000111e-02,2.280000000000000082e-01,4.969999999999999973e-01,7.780000000000000249e-01
